SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.00000033186819,0.019455354,-0.10869608500000001,-0.07111781,94733,1627913380,384910490
30.00000033186819,0.019443179,-0.108698531,-0.07114464100000001,94734,1627913380,390871817
30.000002105461483,0.019420701000000002,-0.108705514,-0.07114977700000001,94735,1627913380,396880640
30.000002105461483,0.019401459000000003,-0.10871687000000001,-0.071143942,94736,1627913380,402812569
30.000002105461483,0.019391261,-0.108720175,-0.071144001,94737,1627913380,408949256
30.000001629347736,0.019375955,-0.10872583400000001,-0.071142573,94738,1627913380,414867542
30.000001629347736,0.019354842,-0.108709576,-0.071153542,94739,1627913380,420869746
30.000001629347736,0.019351779,-0.108674529,-0.07114440100000001,94740,1627913380,426932729
30.00000172958216,0.019362988,-0.10867388,-0.071129152,94741,1627913380,432928360
30.00000172958216,0.019363348000000002,-0.10870408100000001,-0.07112154700000001,94742,1627913380,439032451
30.00000172958216,0.019364654000000002,-0.108709674,-0.071104885,94743,1627913380,444937479
30.00000172958216,0.019368046,-0.108715165,-0.07110985900000001,94744,1627913380,450851388
29.999994167448047,0.019375970000000003,-0.10870247100000001,-0.071130476,94745,1627913380,456835212
29.999994167448047,0.019384214,-0.108709622,-0.07114234900000001,94746,1627913380,462992450
29.999994167448047,0.019386548,-0.108736938,-0.071150352,94747,1627913380,468818687
30.000002472987806,0.019391541,-0.108739917,-0.07114123900000001,94748,1627913380,474847938
30.000002472987806,0.019390088,-0.10876643400000001,-0.071124109,94749,1627913380,480849337
30.000002472987806,0.019382469000000003,-0.10876698100000001,-0.071143259,94750,1627913380,486922224
30.000002472987806,0.019387318,-0.108748723,-0.071154434,94751,1627913380,492929989
29.99999373588297,0.019399168,-0.108728402,-0.07115497600000001,94752,1627913380,498876244
29.99999373588297,0.019401669,-0.10872810100000001,-0.071157865,94753,1627913380,504939293
29.99999373588297,0.019419783,-0.10875284,-0.07116135600000001,94754,1627913380,510872614
30.0000036368214,0.019429071000000003,-0.108764514,-0.071152302,94755,1627913380,516813643
30.0000036368214,0.019439507,-0.108786907,-0.07116019300000001,94756,1627913380,522943601
30.0000036368214,0.0194496,-0.10877568600000001,-0.07116709,94757,1627913380,528889317
29.999998059886803,0.019438417,-0.10877241700000001,-0.071192639,94758,1627913380,534829716
29.999998059886803,0.019446736000000003,-0.10878449400000001,-0.071223487,94759,1627913380,540867329
29.999998059886803,0.019454334,-0.10877616300000001,-0.071227943,94760,1627913380,546948881
29.999998059886803,0.019457014,-0.10878815700000001,-0.07124422700000001,94761,1627913380,552863208
30.000001757425085,0.019477118,-0.108814136,-0.071239985,94762,1627913380,558962882
30.000001757425085,0.019461577,-0.108805921,-0.071230192,94763,1627913380,564821703
30.000001757425085,0.019457494000000002,-0.108792941,-0.07123506,94764,1627913380,570831568
29.99999568767096,0.019447147,-0.108783265,-0.07127536200000001,94765,1627913380,576819565
29.99999568767096,0.019435243,-0.108771475,-0.071287074,94766,1627913380,582910113
29.99999568767096,0.019452329,-0.108789254,-0.071288219,94767,1627913380,588834792
30.000003422431018,0.019454882,-0.10879166400000001,-0.07128052600000001,94768,1627913380,594875980
30.000003422431018,0.019466871,-0.10879957000000001,-0.071280123,94769,1627913380,600851982
30.000003422431018,0.019472369,-0.10881674100000001,-0.071278953,94770,1627913380,606965940
30.000003422431018,0.019449502,-0.10877988300000001,-0.071291744,94771,1627913380,612905536
29.999996419939404,0.019446727,-0.10874913300000001,-0.07129265,94772,1627913380,618940429
29.999996419939404,0.019450777000000002,-0.108763071,-0.07129273500000001,94773,1627913380,624884807
29.999996419939404,0.019444668000000002,-0.108792307,-0.071304613,94774,1627913380,630924581
30.000001025156568,0.019430233,-0.10880853300000001,-0.071304029,94775,1627913380,636858853
30.000001025156568,0.019426930000000002,-0.10880092100000001,-0.071306174,94776,1627913380,642916626
30.000001025156568,0.019406317000000003,-0.10877494,-0.071302339,94777,1627913380,648851301
29.999998051533957,0.019396601000000003,-0.108756773,-0.07129716400000001,94778,1627913380,654854612
29.999998051533957,0.019385446,-0.10874151900000001,-0.07130998300000001,94779,1627913380,660891208
29.999998051533957,0.01939248,-0.108750438,-0.07130807700000001,94780,1627913380,666891190
29.999998051533957,0.019392649,-0.10879217000000001,-0.071315455,94781,1627913380,672993744
30.001064161511227,0.019448455,-0.10886801600000001,-0.071294705,94782,1627913380,678943659
30.001064161511227,0.019512548,-0.109009806,-0.07126613500000001,94783,1627913380,684850737
30.001064161511227,0.019579211000000003,-0.10898862000000001,-0.071226096,94784,1627913380,690934812
30.005923929347535,0.01979045,-0.10902985100000001,-0.071247877,94785,1627913380,696838672
30.005923929347535,0.019980071000000002,-0.10919168600000001,-0.071253444,94786,1627913380,702905425
30.005923929347535,0.020003536000000002,-0.10903533800000001,-0.07131092600000001,94787,1627913380,708947800
30.020077796625465,0.019805255,-0.108886044,-0.07130132900000001,94788,1627913380,714872710
30.020077796625465,0.019793459000000003,-0.10888492500000001,-0.07127760600000001,94789,1627913380,720866449
